question,document
Can I still join the course if I discovered it late?,74eb249bbf
"Is it too late to sign up now, or can I still participate?",74eb249bbf
"If I start the course after it began, can I still get a certificate?",74eb249bbf
Do I have to finish everything on time to be eligible for the certificate?,74eb249bbf
What’s the deadline for submitting the project if I want the certificate?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email. Am I still in, or do I need to wait for one?",977bf7786c
Do I actually need to register for the course before I can start watching lessons and submitting homework?,977bf7786c
"If I didn’t fill out the registration form, can I still join the LLM Zoomcamp and do the assignments while everything is open?",977bf7786c
"Is there some list of registered students that homework submissions get checked against, or can anyone submit during the open period?",977bf7786c
What is the registration form for if it doesn’t affect access to the course or homework submissions?,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,489dd1c9d9
Where can I find the live video link for an Office Hours session before it starts?,489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where is that link posted?",489dd1c9d9
"If I want to ask a question during the live session, should I use chat or Slido?",489dd1c9d9
Why are we told not to post questions in the chat during the live Office Hours?,489dd1c9d9
"Where should I begin if I’m joining the course now, and what are the main pages I need to check first?",04919992b3
What’s the usual weekly routine for this course from watching videos to turning in homework?,04919992b3
"Do I have to start on a specific date, or can I jump in whenever I have time?",04919992b3
"After the lesson videos, what should I do with the notebooks and GitHub homework instructions?",04919992b3
"Is the homework basically the same as the lesson work, or does it use different data/tasks?",04919992b3
I can’t find myself on the leaderboard — how do I jump to my entry?,c2903069a0
Why does the leaderboard show a random name instead of my real one?,c2903069a0
How do I check what display name I’m currently using in the course profile?,c2903069a0
Can I change the nickname shown on the leaderboard to my GitHub or Slack name?,c2903069a0
What do I need to fill in if I want my real name on the certificate instead of the default name?,c2903069a0
Can I do the course on my own time and still get a certificate at the end?,69d122f12e
Is there any way to earn a certificate if I only take the self-paced version?,69d122f12e
Why don’t you give certificates for people who study the course after the live cohort ends?,69d122f12e
"Do I need to join the live cohort to qualify for the certificate, or can I finish later and still get it?",69d122f12e
Is peer-review of the capstone projects required for getting the certificate?,69d122f12e
"If I skipped the first homework, can I still earn the course certificate?",9f689c185f
Do I have to do every homework assignment to get certified in this course?,9f689c185f
What actually counts for getting the certificate - is homework required or just the Capstone project?,9f689c185f
